Sample,Roll,Pitch,Yaw
1,23.877,47.789,280.897
2,23.806,47.709,280.896
3,23.746,47.643,280.893
4,23.686,47.577,280.891
5,23.627,47.51,280.89
6,23.568,47.444,280.888
7,23.507,47.378,280.884
8,23.447,47.312,280.881
9,23.388,47.245,280.878
10,23.328,47.179,280.875
11,23.268,47.111,280.873
12,23.211,47.045,280.873
13,23.152,46.979,280.872
14,23.096,46.913,280.872
15,23.038,46.846,280.872
16,22.979,46.78,280.872
17,22.921,46.712,280.871
18,22.862,46.645,280.871
19,22.804,46.578,280.871
20,22.746,46.511,280.871
21,22.688,46.443,280.872
22,22.629,46.375,280.871
23,22.571,46.308,280.871
24,22.513,46.24,280.871
25,22.454,46.172,280.871
26,22.396,46.104,280.871
27,22.339,46.037,280.872
28,22.283,45.97,280.875
29,22.226,45.902,280.877
30,22.169,45.835,280.878
31,22.112,45.768,280.88
32,22.057,45.7,280.885
33,22,45.632,280.887
34,21.944,45.564,280.891
35,21.887,45.497,280.894
36,21.831,45.43,280.897
37,21.774,45.362,280.9
38,21.718,45.295,280.904
39,21.662,45.227,280.907
40,21.606,45.159,280.91
41,21.55,45.09,280.914
42,21.494,45.022,280.918
43,21.439,44.953,280.922
44,21.383,44.885,280.926
45,21.327,44.816,280.931
46,21.274,44.747,280.937
47,21.219,44.677,280.942
48,21.164,44.609,280.948
49,21.11,44.541,280.953
50,21.055,44.472,280.958
51,20.999,44.403,280.964
52,20.945,44.334,280.969
53,20.889,44.264,280.974
54,20.834,44.194,280.978
55,20.779,44.125,280.984
56,20.724,44.055,280.988
57,20.668,43.984,280.994
58,20.613,43.914,280.998
59,20.556,43.844,281.002
60,20.5,43.774,281.007
61,20.445,43.703,281.013
62,20.389,43.632,281.019
63,20.332,43.56,281.023
64,20.277,43.487,281.028
65,20.221,43.415,281.033
66,20.167,43.342,281.038
67,20.11,43.269,281.042
68,20.053,43.196,281.046
69,19.997,43.124,281.051
70,19.942,43.05,281.056
71,19.887,42.977,281.061
72,19.83,42.904,281.066
73,19.775,42.832,281.072
