Samples, Mx, My, Mz
187, 26.099, 11.855, 19.566
188, 26.099, 11.855, 19.566
189, 26.099, 11.855, 19.566
190, 26.099, 11.855, 19.566
191, 26.099, 11.855, 19.566
192, 26.246, 13.071, 22.134
193, 26.246, 13.071, 22.134
194, 26.246, 13.071, 22.134
195, 26.246, 13.071, 22.134
196, 26.246, 13.071, 22.134
197, 25.805, 10.640, 20.926
198, 25.805, 10.640, 20.926
199, 25.805, 10.640, 20.926
200, 25.805, 10.640, 20.926
201, 25.805, 10.640, 20.926
202, 26.393, 10.336, 20.170
203, 26.393, 10.336, 20.170
204, 26.393, 10.336, 20.170
205, 26.393, 10.336, 20.170
206, 26.393, 10.336, 20.170
207, 26.981, 10.792, 21.077
208, 26.981, 10.792, 21.077
209, 26.981, 10.792, 21.077
210, 26.981, 10.792, 21.077
211, 26.981, 10.792, 21.077
212, 26.099, 9.880, 20.170
213, 26.099, 9.880, 20.170
214, 26.099, 9.880, 20.170
215, 26.099, 9.880, 20.170
216, 26.099, 9.880, 20.170
217, 26.393, 10.640, 20.623
218, 26.393, 10.640, 20.623
219, 26.393, 10.640, 20.623
220, 26.393, 10.640, 20.623
221, 26.393, 10.640, 20.623
222, 26.246, 10.792, 20.775
223, 26.246, 10.792, 20.775
224, 26.246, 10.792, 20.775
225, 26.246, 10.792, 20.775
226, 26.246, 10.792, 20.775
227, 26.246, 11.248, 21.077
228, 26.246, 11.248, 21.077
229, 26.246, 11.248, 21.077
230, 26.246, 11.248, 21.077
231, 26.246, 11.248, 21.077
232, 26.834, 9.576, 20.170
233, 26.834, 9.576, 20.170
234, 26.834, 9.576, 20.170
235, 26.834, 9.576, 20.170
236, 26.834, 9.576, 20.170
237, 25.952, 10.488, 21.077
238, 25.952, 10.488, 21.077
239, 25.952, 10.488, 21.077
240, 25.952, 10.488, 21.077
241, 25.952, 10.488, 21.077
242, 26.246, 11.551, 19.717
243, 26.246, 11.551, 19.717
244, 26.246, 11.551, 19.717
245, 26.246, 11.551, 19.717
246, 26.246, 11.551, 19.717
247, 27.717, 11.248, 20.472
248, 27.717, 11.248, 20.472
249, 27.717, 11.248, 20.472
250, 27.717, 11.248, 20.472
251, 27.717, 11.248, 20.472
252, 26.687, 11.248, 19.415
253, 26.687, 11.248, 19.415
254, 26.687, 11.248, 19.415
255, 26.687, 11.248, 19.415
256, 26.687, 11.248, 19.415
257, 26.834, 9.880, 20.926
258, 26.834, 9.880, 20.926
259, 26.834, 9.880, 20.926
260, 26.834, 9.880, 20.926
261, 26.834, 9.880, 20.926
262, 26.687, 10.792, 20.472
263, 26.687, 10.792, 20.472
264, 26.687, 10.792, 20.472
265, 26.687, 10.792, 20.472
266, 26.687, 10.792, 20.472
267, 25.952, 10.184, 21.077
268, 25.952, 10.184, 21.077
269, 25.952, 10.184, 21.077
270, 25.952, 10.184, 21.077
271, 25.952, 10.184, 21.077
272, 26.099, 9.880, 20.926
273, 26.099, 9.880, 20.926
274, 26.099, 9.880, 20.926
275, 26.099, 9.880, 20.926
276, 26.099, 9.880, 20.926
277, 26.246, 10.792, 20.019
278, 26.246, 10.792, 20.019
279, 26.246, 10.792, 20.019
280, 26.246, 10.792, 20.019
281, 26.246, 10.792, 20.019
282, 25.364, 9.576, 20.926
283, 25.364, 9.576, 20.926
284, 25.364, 9.576, 20.926
285, 25.364, 9.576, 20.926
286, 25.364, 9.576, 20.926
287, 26.393, 12.919, 20.926
288, 26.393, 12.919, 20.926
289, 26.393, 12.919, 20.926
290, 26.393, 12.919, 20.926
291, 26.393, 12.919, 20.926
292, 26.246, 9.728, 21.530
293, 26.246, 9.728, 21.530
294, 26.246, 9.728, 21.530
295, 26.246, 9.728, 21.530
296, 26.246, 9.728, 21.530
297, 25.217, 9.728, 21.832
298, 25.217, 9.728, 21.832
299, 25.217, 9.728, 21.832
300, 25.217, 9.728, 21.832
301, 25.217, 9.728, 21.832
302, 25.952, 12.007, 21.832
303, 25.952, 12.007, 21.832
304, 25.952, 12.007, 21.832
305, 25.952, 12.007, 21.832
306, 25.952, 12.007, 21.832
307, 26.393, 11.855, 20.926
308, 26.393, 11.855, 20.926
309, 26.393, 11.855, 20.926
310, 26.393, 11.855, 20.926
311, 26.393, 11.855, 20.926
312, 27.717, 10.792, 20.775
313, 27.717, 10.792, 20.775
314, 27.717, 10.792, 20.775
315, 27.717, 10.792, 20.775
316, 27.717, 10.792, 20.775
317, 26.246, 11.248, 19.415
318, 26.246, 11.248, 19.415
319, 26.246, 11.248, 19.415
320, 26.246, 11.248, 19.415
321, 26.246, 11.248, 19.415
322, 26.099, 9.880, 20.623
323, 26.099, 9.880, 20.623
324, 26.099, 9.880, 20.623
325, 26.099, 9.880, 20.623
326, 26.099, 9.880, 20.623
327, 26.099, 11.399, 19.566
328, 26.099, 11.399, 19.566
329, 26.099, 11.399, 19.566
