Graph
Time (Seconds),Data (kg*m^2/s^2),Data0 (kg*m^2/s^2),Data1 (kg*m^2/s^2),Data2 (kg*m^2/s^2)
5.700000,0.542678,-0.021856,-0.059204,0.000152
5.750000,0.599840,-0.023407,-0.063237,-0.001318
5.800000,0.499132,-0.021967,-0.061624,0.001263
5.850000,0.514402,-0.024756,-0.060636,0.000359
5.900000,0.510278,-0.024259,-0.066384,0.000256
5.950000,0.575201,-0.026882,-0.069830,-0.001743
6.000000,0.452730,-0.023445,-0.063089,0.001216
6.050000,0.473889,-0.026127,-0.069837,0.000367
6.100000,0.479576,-0.026128,-0.072710,0.0000056
6.150000,0.455437,-0.026865,-0.069621,-0.000091
6.200000,0.510131,-0.030456,-0.075787,-0.001553
6.250000,0.401026,-0.024219,-0.072578,0.001266
6.300000,0.415085,-0.028617,-0.072780,0.000135
6.350000,0.468867,-0.031712,-0.074654,-0.001441
6.400000,0.361958,-0.025277,-0.076985,0.001325
6.450000,0.392488,-0.029599,-0.077371,0.000122
6.500000,0.381119,-0.030154,-0.081491,0.000311
6.550000,0.370358,-0.030539,-0.079916,0.000041
6.600000,0.397632,-0.037825,-0.074930,-0.001670
6.650000,0.316352,-0.028895,-0.087171,0.001313
6.700000,0.331770,-0.032324,-0.083740,0.000183
6.750000,0.327833,-0.033726,-0.085172,-0.000138
6.800000,0.350165,-0.039209,-0.080213,-0.001434
6.850000,0.281503,-0.029493,-0.090643,0.000967
6.900000,0.299656,-0.033618,-0.089383,0.000145
6.950000,0.321383,-0.039017,-0.084195,-0.001193
7.000000,0.266643,-0.029290,-0.092313,0.000846
7.050000,0.270033,-0.033410,-0.090101,0.000064
7.100000,0.268561,-0.033533,-0.093255,0.000167
7.150000,0.262516,-0.033772,-0.087972,-0.000339
7.200000,0.277712,-0.036397,-0.091999,-0.000833
7.250000,0.234941,-0.029692,-0.094136,0.000491
7.300000,0.246617,-0.031775,-0.093539,-0.000137
7.350000,0.252867,-0.033492,-0.092770,-0.000467
7.400000,0.232265,-0.028479,-0.089544,0.000112
7.450000,0.231254,-0.029238,-0.094528,0.000267
7.500000,0.229590,-0.030867,-0.097527,0.000251
7.550000,0.227203,-0.030010,-0.091175,-0.000083
7.600000,0.235214,-0.032710,-0.090368,-0.000522
7.650000,0.213345,-0.027931,-0.094838,0.000390
7.700000,0.213935,-0.029263,-0.096578,0.000218
7.750000,0.215544,-0.029737,-0.093466,-0.000110
7.800000,0.221755,-0.031920,-0.092114,-0.000509
7.850000,0.201163,-0.027748,-0.101146,0.000562
7.900000,0.204905,-0.029098,-0.096097,0.000016
7.950000,0.198978,-0.029205,-0.100713,0.000188
8.000000,0.209558,-0.031843,-0.093545,-0.000700
8.050000,0.194080,-0.027951,-0.102862,0.000331
8.100000,0.201773,-0.030356,-0.101286,-0.000022
8.150001,0.192910,-0.029361,-0.099646,-0.000045
8.200000,0.196803,-0.031404,-0.099119,-0.000343
8.250000,0.190894,-0.029033,-0.108859,0.000553
8.300000,0.194771,-0.030340,-0.102908,0.00000024
8.350000,0.185360,-0.029696,-0.105698,0.000119
8.400001,0.195607,-0.033258,-0.099660,-0.000605
8.450000,0.187295,-0.029731,-0.111730,0.000576
8.500000,0.180515,-0.029312,-0.108402,0.000164
8.550000,0.184057,-0.032271,-0.112584,0.000067
8.600000,0.188861,-0.034905,-0.101480,-0.000765
8.650001,0.176149,-0.029827,-0.114313,0.000388
8.700000,0.176880,-0.032308,-0.114277,0.000117
8.750000,0.174896,-0.032280,-0.109320,-0.000186
8.800000,0.180158,-0.034785,-0.110512,-0.000418
8.850000,0.168355,-0.031125,-0.116854,0.000310
8.900001,0.170388,-0.031547,-0.112938,-0.000117
8.950000,0.164648,-0.031831,-0.115870,0.000193
9.000000,0.174059,-0.033961,-0.112671,-0.000401
9.050000,0.162207,-0.030308,-0.114197,0.000083
