Graph
Time (Seconds),Data0 (kg*m^2/s^2),Data (kg*m^2/s^2)
12.400001,-0.000357,-0.00000075
12.450000,-0.000356,-0.00000081
12.500000,-0.000357,-0.00000078
12.550000,-0.000358,-0.00000068
12.600000,-0.000356,-0.00000081
12.650001,-0.000356,-0.00000068
12.700000,-0.000358,-0.00000072
12.750000,-0.000358,-0.00000072
12.800000,-0.000360,-0.00000074
12.850000,-0.000358,-0.0000008
12.900001,-0.000360,-0.00000064
12.950000,-0.000359,-0.00000077
13.000000,-0.000361,-0.00000075
13.050000,-0.000362,-0.00000083
13.100000,-0.000361,-0.00000079
13.150001,-0.000363,-0.0000008
13.200000,-0.000362,-0.00000079
13.250000,-0.000361,-0.00000071
13.300000,-0.000362,-0.00000082
13.350000,-0.000364,-0.00000085
13.400001,-0.000364,-0.00000078
13.450000,-0.000364,-0.00000079
13.500000,-0.000364,-0.00000083
13.550000,-0.000364,-0.00000080
13.600000,-0.000366,-0.00000076
13.650001,-0.000367,-0.00000089
13.700000,-0.000366,-0.0000008
13.750000,-0.000367,-0.00000075
13.800000,-0.000369,-0.00000081
13.850000,-0.000369,-0.00000084
13.900001,-0.000354,0.0000089
13.950000,-0.000125,0.000151
14.000000,0.000045,0.000247
14.050000,0.000068,0.000279
14.100000,0.000044,0.000290
14.150001,0.008915,0.000664
14.200000,0.021898,0.000387
14.250000,0.029771,0.000448
14.300000,0.036867,0.000432
14.350000,0.046983,0.000415
14.400001,0.052213,0.000251
14.450000,0.055740,0.000025
14.500000,0.067958,-0.000037
14.550000,0.084190,-0.000019
14.600000,0.100426,-0.00000067
14.650001,0.115913,0.000003
14.700000,0.131095,0.0000011
14.750000,0.146271,-0.0000002
14.800000,0.161473,-0.0000003
14.850000,0.176644,-0.00000012
14.900001,0.191770,0.000000093
14.950000,0.206834,-0.000000046
15.000000,0.221852,-0.000000002
15.050000,0.236808,0.000000012
15.100000,0.251705,0.000000055
15.150001,0.266538,0.00000015
15.200000,0.281300,0.00000015
15.250000,0.295991,0.00000018
15.300000,0.310600,0.00000016
15.350000,0.325133,0.00000029
15.400001,0.339580,0.00000019
15.450000,0.353948,0.00000037
15.500000,0.368214,0.00000037
15.550000,0.382385,0.00000037
15.600000,0.396459,0.00000044
15.650001,0.410429,0.00000022
15.700000,0.424295,0.00000064
15.750000,0.438051,0.00000053
15.800000,0.451686,0.00000055
15.850000,0.465204,0.00000056
15.900001,0.478609,0.00000064
15.950000,0.491882,0.00000061
16.000000,0.505030,0.00000075
16.049999,0.518039,0.00000070
16.099998,0.530919,0.00000073
16.150000,0.543654,0.00000078
16.199999,0.556248,0.00000089
16.250000,0.568692,0.00000080
16.299999,0.580993,0.00000100
16.349998,0.593135,0.00000094
16.400000,0.605118,0.00000096
16.449999,0.616942,0.00000097
16.500000,0.628603,0.0000012
16.549999,0.640094,0.000001
16.599998,0.651414,0.0000012
16.650000,0.662560,0.0000012
16.699999,0.673531,0.0000012
16.750000,0.684318,0.0000013
16.799999,0.694922,0.0000013
16.849998,0.705334,0.0000014
16.900000,0.715557,0.0000014
16.949999,0.725587,0.0000013
17.000000,0.735423,0.0000016
17.049999,0.745055,0.0000015
17.099998,0.754482,0.0000015
17.150000,0.763705,0.0000015
17.199999,0.772720,0.0000018
17.250000,0.781520,0.0000017
17.299999,0.790100,0.0000015
17.349998,0.798470,0.0000018
17.400000,0.806613,0.0000017
17.449999,0.814537,0.0000019
17.500000,0.822233,0.0000017
17.549999,0.829695,0.0000019
17.599998,0.836927,0.0000018
17.650000,0.843930,0.0000022
17.699999,0.850683,0.0000019
17.750000,0.857206,0.0000021
17.799999,0.863481,0.0000020
17.849998,0.869517,0.000002
17.900000,0.875304,0.0000023
17.949999,0.880837,0.0000022
18.000000,0.886123,0.0000021
18.049999,0.891153,0.0000024
18.099998,0.895919,0.000002
18.150000,0.900440,0.0000023
18.199999,0.904691,0.0000024
18.250000,0.908681,0.0000022
18.299999,0.912411,0.0000025
18.349998,0.915869,0.0000023
18.400000,0.919066,0.0000026
18.449999,0.921986,0.0000023
18.500000,0.924633,0.0000027
18.549999,0.927012,0.0000025
18.599998,0.929109,0.0000024
18.650000,0.922457,-0.000161
18.699999,0.911347,-0.000402
18.750000,0.908084,-0.000479
18.799999,0.909121,-0.000467
18.849998,0.910368,-0.000448
18.900000,0.919232,-0.000277
18.949999,0.931692,-0.000039
19.000000,0.935801,0.000036
19.049999,0.935285,0.000022
19.099998,0.934313,0.0000024
19.150000,0.934012,-0.0000032
19.199999,0.934071,-0.0000018
19.250000,0.934148,-0.0000003
19.299999,0.934167,0.00000002
19.349998,0.934159,-0.000000069
19.400000,0.934159,-0.00000018
19.449999,0.934157,-0.00000015
19.500000,0.934158,-0.00000017
19.549999,0.934157,-0.00000018
19.599998,0.934157,-0.00000018
19.650000,0.934157,-0.00000018
19.699999,0.934157,-0.00000018
19.750000,0.934157,-0.00000018
19.799999,0.934157,-0.00000018
19.849998,0.934157,-0.00000018
19.900000,0.934157,-0.00000018
19.949999,0.934157,-0.00000018
20.000000,0.934157,-0.00000018
20.049999,0.934157,-0.00000018
20.099998,0.934157,-0.00000018
20.150000,0.934157,-0.00000018
20.199999,0.934157,-0.00000018
20.250000,0.934157,-0.00000018
20.299999,0.934157,-0.00000018
20.349998,0.934157,-0.00000018
20.400000,0.934157,-0.00000018
20.449999,0.934157,-0.00000018
20.500000,0.934157,-0.00000018
20.549999,0.934157,-0.00000018
20.599998,0.934157,-0.00000018
20.650000,0.934157,-0.00000018
20.699999,0.934157,-0.00000018
20.750000,0.934157,-0.00000018
20.799999,0.934157,-0.00000018
20.849998,0.934157,-0.00000018
20.900000,0.934157,-0.00000018
20.949999,0.934157,-0.00000018
21.000000,0.934157,-0.00000018
21.049999,0.934157,-0.00000018
21.099998,0.934157,-0.00000018
21.150000,0.934157,-0.00000018
21.199999,0.934157,-0.00000018
21.250000,0.934157,-0.00000018
21.299999,0.934157,-0.00000018
21.349998,0.934157,-0.00000018
21.400000,0.934157,-0.00000018
21.449999,0.934157,-0.00000018
21.500000,0.934157,-0.00000018
21.549999,0.934157,-0.00000018
21.599998,0.934157,-0.00000018
21.650000,0.934157,-0.00000018
21.699999,0.934157,-0.00000018
21.750000,0.934157,-0.00000018
21.799999,0.934157,-0.00000018
21.849998,0.934157,-0.00000018
21.900000,0.934157,-0.00000018
21.949999,0.934157,-0.00000018
22.000000,0.934157,-0.00000018
22.049999,0.934157,-0.00000018
22.099998,0.934157,-0.00000018
22.150000,0.934157,-0.00000018
22.199999,0.934157,-0.00000018
22.250000,0.934157,-0.00000018
22.299999,0.934157,-0.00000018
22.349998,0.934157,-0.00000018
22.400000,0.934157,-0.00000018
22.449999,0.934157,-0.00000018
22.500000,0.934157,-0.00000018
22.549999,0.934157,-0.00000018
22.599998,0.934157,-0.00000018
22.650000,0.934157,-0.00000018
22.699999,0.934157,-0.00000018
22.750000,0.934157,-0.00000018
22.799999,0.934157,-0.00000018
22.849998,0.934157,-0.00000018
22.900000,0.934157,-0.00000018
22.949999,0.934157,-0.00000018
23.000000,0.934157,-0.00000018
23.049999,0.934157,-0.00000018
