0.07,-11.81,-13,2.94,0.5,-0.914259,0.0984055,0.0984055,0
0.12,-11.88,-13,2.88,0.56,-0.922211,0.0958664,0.0958664,-2.00464E-05
0.17,-11.81,-13.06,2.88,0.5,-0.897056,0.100143,0.100143,3.26483E-05
0.22,-11.81,-12.88,2.81,0.5,-0.921364,0.0944227,0.0944227,7.47627E-06
0.27,-11.75,-12.88,2.81,0.44,-0.908725,0.101224,0.101224,-2.53668E-05
0.32,-11.69,-12.81,2.88,0.44,-0.91567,0.101799,0.101799,0.000157138
0.37,-11.62,-12.62,2.81,0.38,-0.910613,0.0862703,0.0862703,-0.000110845
0.42,-11.56,-12.56,2.81,0.38,-0.918369,0.10027,0.10027,0.000108654
0.47,-11.56,-12.62,2.81,0.38,-0.923887,0.0970456,0.0970456,-0.000158736
0.52,-11.56,-12.56,2.88,0.31,-0.916204,0.099949,0.099949,-0.00015793
0.62,-11.5,-12.5,2.94,0.25,-0.912942,0.0931215,0.0931215,8.37245E-05
0.67,-11.5,-12.5,2.88,0.25,-0.917776,0.0894258,0.0894258,-1.80576E-06
0.72,-11.5,-12.5,2.88,0.25,-0.916567,0.0988599,0.0988599,-8.93858E-12
0.77,-11.5,-12.5,2.75,0.25,-0.912965,0.086394,0.086394,3.9292E-09
0.82,-11.44,-12.44,2.69,0.25,-0.908723,0.0982671,0.0982671,0.000151133
0.92,-11.44,-12.44,2.69,0.25,-0.920519,0.0973402,0.0973402,-7.56961E-05
1.01,-11.44,-12.44,2.69,0.25,-0.915744,0.0947549,0.0947549,0
1.08,-11.44,-12.5,2.69,0.25,-0.915862,0.0952237,0.0952237,-3.48926E-06
1.12,-11.44,-12.5,2.56,0.31,-0.911449,0.0818782,0.0818782,0.000237396
1.17,-11.5,-12.5,2.56,0.38,-0.926957,0.107425,0.107425,-0.000156885
1.22,-11.44,-12.5,2.56,0.38,-0.899703,0.0931101,0.0931101,0.000116156
1.27,-11.44,-12.5,2.56,0.31,-0.92415,0.0966137,0.0966137,-0.000317451
1.32,-11.44,-12.44,2.56,0.38,-0.915272,0.0949756,0.0949756,0.000352332
1.37,-11.44,-12.5,2.62,0.38,-0.917603,0.0993525,0.0993525,-0.000186511
1.42,-11.44,-12.5,2.69,0.31,-0.915864,0.0958904,0.0958904,-0.000166076
1.47,-11.38,-12.44,2.75,0.31,-0.907135,0.0928649,0.0928649,0.000324731
1.52,-11.44,-12.5,2.69,0.38,-0.929999,0.089547,0.089547,-0.000129526
1.57,-11.44,-12.44,2.75,0.31,-0.909715,0.101503,0.101503,-0.000187018
1.62,-11.44,-12.5,2.75,0.31,-0.914849,0.0911149,0.0911149,0.000158928
1.67,-11.44,-12.44,2.75,0.31,-0.915211,0.0946501,0.0946501,1.39853E-05
1.72,-11.38,-12.5,2.81,0.31,-0.909384,0.0979034,0.0979034,0.000129911
1.77,-11.38,-12.44,2.75,0.31,-0.921244,0.0878415,0.0878415,-0.000130841
1.82,-11.31,-12.38,2.75,0.31,-0.907787,0.096936,0.096936,0.000168686
1.87,-11.31,-12.44,2.69,0.38,-0.924817,0.0921996,0.0921996,-9.12662E-06
1.92,-11.38,-12.31,2.75,0.31,-0.927254,0.103034,0.103034,-0.000491804
1.97,-11.38,-12.38,2.81,0.31,-0.907034,0.092778,0.092778,0.00031743
2.02,-11.5,-12.25,2.88,0.38,-0.930848,0.0958537,0.0958537,-9.1212E-05
2.07,-11.62,-12.38,3,0.31,-0.917417,0.0969598,0.0969598,-0.000380058
2.12,-11.81,-12.31,3.06,0.31,-0.921482,0.0901515,0.0901515,3.05831E-05
