Angle_graph,,
Time (Seconds),Data (Degrees),Data0 (Degrees)
18.549999,7.083617,-0.015737
18.599998,6.091108,-0.01336
18.65,5.147613,-0.010915
18.699999,4.346377,-0.008524
18.75,3.743094,-0.006106
18.799999,3.347872,-0.003688
18.849998,3.155588,-0.001284
18.9,3.112422,-0.000451
18.949999,3.124429,-0.000137
19,3.136587,-2.7E-05
