Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees),shoulder_roll (Degrees)
4.500000,68.919960,0.000027,79.015770,0.000000
4.550000,70.876602,0.000027,79.001518,0.000014
4.600000,72.832634,0.000027,78.988434,-0.000041
4.650000,74.788055,0.000027,78.976562,-0.000014
4.700000,76.742966,0.000027,78.965881,-0.000014
4.750000,78.697411,0.000027,78.956398,-0.000014
4.800000,80.651421,0.000027,78.948105,0.000000
4.850000,82.605118,0.000027,78.941048,0.000027
4.900000,84.558495,0.000027,78.935188,0.000027
4.950000,86.511642,0.000027,78.930542,0.000014
5.000000,88.464622,0.000027,78.927109,0.000000
5.050000,90.417496,0.000027,78.924873,0.000014
5.100000,92.370316,0.000027,78.923859,-0.000014
5.150000,94.323112,0.000027,78.924080,0.000000
5.200000,96.275970,0.000027,78.925499,0.000000
5.250000,98.228928,0.000027,78.928123,-0.000027
5.300000,100.182045,0.000027,78.931961,0.000000
5.350000,102.135399,0.000027,78.937019,0.000000
5.400000,104.089035,0.000027,78.943230,0.000014
5.450000,106.043007,0.000027,78.950653,-0.000014
5.500000,107.997353,0.000027,78.959259,-0.000014
5.550000,109.952126,0.000027,78.969025,-0.000027
5.600000,111.907433,0.000027,78.979935,-0.000027
5.650000,113.863274,0.000027,78.991997,0.000027
5.700000,115.819679,0.000027,79.005211,0.000000
5.750000,117.776794,0.000027,79.019524,0.000014
5.800000,119.734581,0.000027,79.034935,-0.000014
5.850000,121.693115,0.000027,79.051460,0.000000
5.900000,123.652451,0.000027,79.069046,0.000000
5.950000,125.612633,0.000027,79.087662,0.000000
6.000000,127.573715,0.000027,79.107330,-0.000027
6.050000,129.535751,0.000027,79.127960,-0.000027
6.100000,131.498764,0.000027,79.149628,0.000000
6.150000,133.462799,0.000027,79.172234,-0.000027
6.200000,135.427917,0.000027,79.195770,-0.000014
6.250000,137.394150,0.000027,79.220238,-0.000014
6.300000,139.361526,0.000027,79.245621,-0.000027
6.350000,141.330124,0.000027,79.271790,0.000000
6.400000,143.299942,0.000027,79.298828,0.000014
6.450000,145.270996,0.000027,79.326637,0.000014
6.500000,147.243362,0.000027,79.355255,-0.000014
6.550000,149.217056,0.000027,79.384598,-0.000027
6.600000,151.192123,0.000027,79.414635,0.000000
6.650000,153.168594,0.000027,79.445374,-0.000014
6.700000,155.146469,0.000027,79.476723,-0.000027
6.750000,157.125778,0.000027,79.508675,-0.000027
6.800000,159.106583,0.000027,79.541245,0.000000
6.850000,161.088867,0.000027,79.574303,0.000014
6.900000,163.072693,0.000027,79.607880,-0.000041
6.950000,165.058060,0.000027,79.641922,-0.000014
7.000000,167.044968,0.000027,79.676399,0.000014
7.050000,169.033447,0.000027,79.711220,0.000014
7.100000,171.023514,0.000027,79.746422,0.000000
7.150000,173.015213,0.000027,79.781937,0.000000
7.200000,175.008499,0.000027,79.817673,0.000027
7.250000,177.003418,0.000027,79.853653,0.000014
7.300000,178.999985,0.000027,79.889824,0.000000
7.350000,180.998184,0.000027,79.926178,-0.000027
7.400000,182.998062,0.000027,79.962593,-0.000027
7.450000,184.999603,0.000027,79.999031,-0.000027
7.500000,187.002792,0.000027,80.035545,-0.000014
7.550000,189.007690,0.000027,80.072014,0.000000
7.600000,191.014206,0.000027,80.108391,0.000027
7.650000,193.022385,0.000027,80.144646,0.000014
7.700000,195.032242,0.000027,80.180687,-0.000041
7.750000,197.043747,0.000027,80.216530,-0.000055
7.800000,199.056900,0.000027,80.252113,-0.000041
7.850000,201.071686,0.000027,80.287430,-0.000027
7.900000,203.088089,0.000027,80.322395,-0.000014
7.950000,205.106110,0.000027,80.356918,0.000014
8.000000,207.125687,0.000027,80.390999,-0.000041
8.050000,209.146835,0.000027,80.424576,-0.000068
8.100000,211.169556,0.000027,80.457687,-0.000014
8.150001,213.193787,0.000027,80.490227,0.000000
8.200000,215.219498,0.000027,80.522110,-0.000014
8.250000,217.246674,0.000027,80.553352,-0.000027
8.300000,219.275284,0.000027,80.583870,-0.000041
8.350000,221.305283,0.000027,80.613678,-0.000041
8.400001,223.336655,0.000027,80.642723,-0.000041
8.450000,225.369354,0.000027,80.670952,-0.000027
8.500000,227.403290,0.000027,80.698265,-0.000041
8.550000,229.438522,0.000027,80.724739,-0.000041
8.600000,231.474930,0.000027,80.750282,-0.000041
8.650001,233.512497,0.000027,80.774826,-0.000014
8.700000,235.551208,0.000027,80.798424,0.000000
8.750000,237.590897,0.000027,80.820961,-0.000027
8.800000,239.631622,0.000027,80.842445,-0.000027
8.850000,241.673325,0.000027,80.862869,-0.000027
8.900001,243.715958,0.000027,80.882210,-0.000041
8.950000,245.759384,0.000027,80.900421,-0.000027
9.000000,247.803635,0.000027,80.917427,-0.000041
9.050000,249.848648,0.000027,80.933289,-0.000027
9.100000,251.894272,0.000027,80.947945,-0.000041
9.150001,253.940582,0.000027,80.961388,-0.000027
9.200000,255.987411,0.000027,80.973602,-0.000041
9.250000,258.034729,0.000027,80.984573,-0.000027
9.300000,260.082520,0.000027,80.994286,-0.000027
9.350000,262.130646,0.000027,81.002708,-0.000041
9.400001,264.179138,0.000027,81.009842,-0.000027
9.450000,266.227875,0.000027,81.015717,-0.000041
9.500000,268.276825,0.000027,81.020264,-0.000041
9.550000,270.325836,0.000027,81.023514,-0.000027
9.600000,272.374939,0.000027,81.025467,-0.000041
9.650001,274.424103,0.000027,81.026100,0.000000
9.700000,276.473145,0.000027,81.025398,-0.000014
9.750000,278.522003,0.000027,81.023438,-0.000014
9.800000,280.570679,0.000027,81.020142,-0.000014
9.850000,282.619202,0.000027,81.015549,-0.000041
9.900001,284.667328,0.000027,81.009689,-0.000027
9.950000,286.715118,0.000027,81.002480,-0.000014
10.000000,288.762421,0.000027,80.994011,-0.000014
10.050000,290.809296,0.000027,80.984314,-0.000027
10.100000,292.855499,0.000027,80.973328,-0.000041
10.150001,294.901123,0.000027,80.961113,-0.000014
10.200000,296.946045,0.000027,80.947670,-0.000041
10.250000,298.990265,0.000027,80.933029,0.000000
10.300000,301.033661,0.000027,80.917236,-0.000014
10.350000,303.076202,0.000027,80.900261,-0.000068
10.400001,305.117889,0.000027,80.882156,-0.000041
10.450000,307.158569,0.000027,80.862923,-0.000041
10.500000,309.198181,0.000027,80.842628,0.000000
10.550000,311.236816,0.000027,80.821243,-0.000014
10.600000,313.274323,0.000027,80.798874,-0.000041
10.650001,315.310669,0.000027,80.775482,-0.000041
10.700000,317.345795,0.000027,80.751144,-0.000027
10.750000,319.379761,0.000027,80.725868,-0.000014
10.800000,321.412354,0.000027,80.699684,0.000000
10.850000,323.443665,0.000027,80.672661,0.000000
10.900001,325.473663,0.000027,80.644836,-0.000027
10.950000,327.502228,0.000027,80.616188,-0.000027
11.000000,329.529297,0.000027,80.586792,-0.000027
11.050000,331.554993,0.000027,80.556702,-0.000055
11.100000,333.579224,0.000027,80.525909,-0.000014
11.150001,335.601898,0.000027,80.494530,-0.000027
11.200000,337.623016,0.000027,80.462540,-0.000027
11.250000,339.642578,0.000027,80.430038,-0.000014
11.300000,341.660492,0.000027,80.396996,-0.000014
11.350000,343.676910,0.000027,80.363518,-0.000027
11.400001,345.691681,0.000027,80.329597,-0.000041
11.450000,347.704742,0.000027,80.295334,0.000000
11.500000,349.716187,0.000027,80.260719,-0.000014
11.550000,351.694916,0.000027,80.226189,-0.000014
11.600000,353.538696,0.000027,80.192978,0.000000
11.650001,355.199738,0.000027,80.162048,-0.000055
11.700000,356.664124,0.000027,80.133827,0.000014
11.750000,357.928925,0.000027,80.108788,0.000014
11.800000,358.993469,0.000027,80.087166,0.000014
11.850000,359.857361,0.000027,80.068932,0.000000
11.900001,360.520844,0.000027,80.054146,0.000000
11.950000,360.983917,0.000027,80.042862,0.000000
12.000000,361.246948,0.000027,80.035133,0.000027
12.050000,361.340942,0.000027,80.030449,0.000027
12.100000,361.368164,0.000027,80.027840,0.000000
12.150001,361.376129,0.000027,80.026787,-0.000027

