Angle_graph,,,
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
8.5,89.945694,-4.261301,0.006202
8.55,89.946312,-5.654276,0.006106
8.6,89.94709,-7.247227,0.005983
8.650001,89.947968,-9.040152,0.00586
8.7,89.948563,-10.967958,0.005737
8.75,89.949005,-12.942799,0.005655
8.8,89.949738,-14.934031,0.005519
8.85,89.950768,-16.930946,0.005396
8.900001,89.951912,-18.929884,0.005314
8.95,89.953018,-20.929502,0.005218
9,89.954109,-22.929369,0.005136
9.05,89.955231,-24.929344,0.005068
9.1,89.956322,-26.929306,0.004972
9.150001,89.957428,-28.929308,0.004877
9.2,89.958565,-30.929296,0.004767
9.25,89.959656,-32.929298,0.004658
9.3,89.960777,-34.929287,0.004563
9.35,89.961884,-36.929302,0.004467
9.400001,89.96299,-38.929291,0.004358
9.45,89.964111,-40.92931,0.004235
9.5,89.965202,-42.92931,0.004153
9.55,89.966324,-44.929314,0.00403
9.6,89.96743,-46.929314,0.003934
9.650001,89.968552,-48.929333,0.003825
9.7,89.969673,-50.929321,0.003688
9.75,89.970779,-52.929321,0.003565
9.8,89.971855,-54.929325,0.003456
9.85,89.972977,-56.929325,0.003319
9.900001,89.974098,-58.929329,0.003224
9.95,89.975204,-60.929306,0.003115
10,89.976311,-62.929306,0.003019
10.05,89.977432,-64.929306,0.002923
10.1,89.978546,-66.929314,0.002814
10.150001,89.97966,-68.929314,0.002746
10.2,89.980751,-70.929314,0.002664
10.25,89.981857,-72.929306,0.002568
10.3,89.982964,-74.929306,0.002459
10.35,89.984093,-76.929306,0.002363
10.400001,89.985199,-78.929314,0.002268
10.45,89.986008,-80.864151,0.002117
10.5,89.986694,-82.646065,0.001994
10.55,89.987686,-84.244347,0.001858
10.6,89.988945,-85.648361,0.001776
10.650001,89.990326,-86.854355,0.00168
10.7,89.991661,-87.861053,0.001557
10.75,89.993057,-88.668015,0.001475
10.8,89.994423,-89.275024,0.001352
10.85,89.99575,-89.682076,0.001202
10.900001,89.997116,-89.88916,0.00112
10.95,89.996147,-89.82402,0.001735
11,89.99575,-89.605919,0.002049
11.05,89.995766,-89.204224,0.002104
11.1,89.995979,-88.608238,0.002063
11.150001,89.996284,-87.814224,0.002035
11.2,89.996567,-86.820915,0.002022
11.25,89.99688,-85.627853,0.001981
11.3,89.997169,-84.234863,0.001967
11.35,89.997459,-82.64193,0.00194
11.400001,89.997742,-80.848991,0.001912
11.45,89.998329,-78.921181,0.001899
11.5,89.999084,-76.946342,0.001871
11.55,89.999481,-74.955154,0.001871
11.6,89.999611,-72.958221,0.001858
11.650001,89.999672,-70.959274,0.001858
11.7,89.99971,-68.959641,0.00183
11.75,89.999748,-66.959763,0.001817
11.8,89.999809,-64.959824,0.00179
11.85,89.999863,-62.959839,0.001762
11.900001,89.999916,-60.959835,0.001749
11.95,89.999969,-58.959805,0.001735
12,90.000008,-56.959843,0.001721
12.05,90.000053,-54.959843,0.001694
12.1,90.000107,-52.959839,0.00168
12.150001,90.00016,-50.959839,0.001653
12.2,90.000214,-48.959835,0.001639
12.25,90.000259,-46.959846,0.001598
12.3,90.000298,-44.959843,0.001585
12.35,90.000351,-42.959827,0.001571
12.400001,90.000404,-40.959824,0.001571
12.45,90.000458,-38.959824,0.001544
12.5,90.000519,-36.959846,0.001516
12.55,90.000557,-34.959831,0.001489
12.6,90.00061,-32.959831,0.001462
12.650001,90.000664,-30.959827,0.001448
12.7,90.000717,-28.959826,0.001421
12.75,90.000763,-26.959822,0.001407
12.8,90.000816,-24.959833,0.001393
12.85,90.00087,-22.959858,0.00138
12.900001,90.000923,-20.959856,0.001352
12.95,90.000969,-18.959841,0.001339
13,90.001022,-16.959824,0.001311
13.05,90.001076,-14.959836,0.001298
13.1,90.001106,-12.959846,0.001284
13.150001,90.00116,-10.96005,0.001257
13.2,90.001511,-9.032447,0.001243
13.25,90.001991,-7.260327,0.001216
13.3,90.002151,-5.672663,0.001188
13.35,90.002007,-4.279592,0.001188
13.400001,90.001816,-3.084609,0.001175
13.45,90.001625,-2.088972,0.001161
13.5,90.001434,-1.293119,0.001188
13.55,90.001228,-0.697185,0.001134
13.6,90.001045,-0.301225,0.001147
13.650001,89.952309,-0.297687,0.002145
13.7,89.759903,-0.292892,0.003115
13.75,89.375687,-0.287647,0.003661
13.8,88.79332,-0.282264,0.003921
13.85,88.018585,-0.276814,0.004166
13.900001,87.054741,-0.271322,0.004494
13.95,85.901909,-0.265872,0.004808
14,84.559547,-0.26038,0.005082
14.05,83.027412,-0.254903,0.005369
14.1,81.305374,-0.249439,0.005532
14.150001,79.443108,-0.243974,0.005464
14.2,77.531731,-0.238469,0.005095
14.25,75.62249,-0.233005,0.004781
14.3,73.72184,-0.2275,0.004658
14.35,71.823296,-0.222022,0.004522
14.400001,69.923286,-0.216558,0.00433
14.45,68.021431,-0.211094,0.004153
14.5,66.11824,-0.205616,0.003975
14.55,64.213959,-0.200111,0.003784
14.6,62.308388,-0.194606,0.003634
14.650001,60.401371,-0.189155,0.003442
14.7,58.492908,-0.183677,0.003306
14.75,56.582764,-0.178213,0.003183
14.8,54.670898,-0.172722,0.003046
14.85,52.757229,-0.167244,0.002923
14.900001,50.841648,-0.161753,0.002746
14.95,48.924046,-0.156275,0.002623
15,47.004364,-0.150783,0.002514
15.05,45.082516,-0.145305,0.002404
15.1,43.158382,-0.139841,0.002281
15.150001,41.231873,-0.134363,0.002199
15.2,39.302917,-0.128886,0.00209
15.25,37.371368,-0.123408,0.002008
15.3,35.437222,-0.117916,0.001926
15.35,33.500359,-0.112452,0.001899
15.400001,31.560707,-0.106947,0.001817
15.45,29.61816,-0.101442,0.001708
15.5,27.672676,-0.096005,0.001639
15.55,25.724173,-0.090527,0.001571
15.6,23.772596,-0.08505,0.00153
15.650001,21.817823,-0.079572,0.001489
15.7,19.85984,-0.074094,0.001421
15.75,17.898483,-0.068616,0.001407
15.8,15.933821,-0.063125,0.001352
15.85,13.965729,-0.057633,0.001298
15.900001,12.044055,-0.052169,0.001147
15.95,10.261772,-0.046705,0.000943
16,8.674217,-0.041213,0.000806
16.049999,7.291473,-0.035736,0.000683
16.099998,6.108744,-0.030244,0.000533
16.15,5.122737,-0.024766,0.000423
16.199999,4.333591,-0.019302,0.000301
16.25,3.742397,-0.013838,0.000205
16.299999,3.349948,-0.008346,0.000109
16.349998,3.156517,-0.00291,-5.5E-05
16.4,3.112381,-0.001038,-6.8E-05
16.449999,3.124292,-0.000369,2.7E-05
16.5,3.136532,-0.000137,5.5E-05
16.549999,3.139264,-4.1E-05,6.8E-05
16.599998,3.138103,-4.1E-05,5.5E-05
16.65,3.137079,-1.4E-05,1.4E-05
16.699999,3.136887,0,0
16.75,3.13701,1.4E-05,-2.7E-05
16.799999,3.137079,1.4E-05,-4.1E-05
16.849998,3.137051,-4.1E-05,0
16.9,3.137038,0,-2.7E-05
16.949999,3.137065,0,-4.1E-05
17,3.137038,1.4E-05,0
17.049999,3.137079,0,-2.7E-05
17.099998,3.137065,2.7E-05,-4.1E-05
17.15,3.137065,0,-2.7E-05
17.199999,3.137038,-1.4E-05,-1.4E-05
17.25,3.137038,-1.4E-05,0
17.299999,3.137038,0,-1.4E-05
17.349998,3.137038,0,-1.4E-05
17.4,3.137038,0,-1.4E-05
17.449999,3.137038,0,-1.4E-05
17.5,3.137038,0,-1.4E-05
17.549999,3.137038,0,-1.4E-05
17.599998,3.137038,0,-1.4E-05
17.65,3.137038,0,-1.4E-05
17.699999,3.137038,0,-1.4E-05
17.75,3.137038,0,-1.4E-05
17.799999,3.137038,0,-1.4E-05
17.849998,3.137038,0,-1.4E-05
17.9,3.137038,0,-1.4E-05
17.949999,3.137038,0,-1.4E-05
18,3.137038,0,-1.4E-05
18.049999,3.137038,0,-1.4E-05
18.099998,3.137038,0,-1.4E-05
18.15,3.137038,0,-1.4E-05
18.199999,3.137038,0,-1.4E-05
18.25,3.137038,0,-1.4E-05
18.299999,3.137038,0,-1.4E-05
18.349998,3.137038,0,-1.4E-05
18.4,3.137038,0,-1.4E-05
18.449999,3.137038,0,-1.4E-05
18.5,3.137038,0,-1.4E-05
