0,18.69,3.5
0.004,18.75,3.44
0.009,18.75,3.5
0.019,18.75,3.5
0.049,18.75,3.5
0.06,18.81,3.5
0.069,18.88,3.44
0.099,18.88,3.44
0.109,18.94,3.44
0.139,18.94,3.5
0.144,19,3.44
0.151,19,3.44
0.159,19,3.44
0.189,19,3.44
0.194,19,3.44
0.201,19,3.38
0.209,18.94,3.44
0.239,19,3.38
0.244,19.06,3.38
0.251,19.06,3.31
0.259,19.06,3.31
0.279,19,3.25
0.284,18.94,3.25
0.319,18.88,3.25
0.329,19,3.19
0.35,18.94,3.25
0.359,18.88,3.25
0.369,18.94,3.31
0.399,18.94,3.31
0.409,18.88,3.31
0.439,18.94,3.31
0.469,18.88,3.38
0.499,18.81,3.38
0.509,18.81,3.38
0.519,18.81,3.31
0.549,18.75,3.31
0.559,18.62,3.38
0.579,18.56,3.31
0.6,18.44,3.31
0.609,18.44,3.31
0.619,18.44,3.25
0.649,18.38,3.31
0.659,18.44,3.25
0.669,18.31,3.31
0.699,18.25,3.38
0.709,18.25,3.31
0.719,18.25,3.31
0.749,18.19,3.31
0.759,18.12,3.25
0.789,18.06,3.25
0.8,18,3.19
0.809,18,3.19
0.819,17.94,3.19
0.849,17.94,3.12
0.879,17.88,3.12
0.928,17.81,3.12
0.978,17.75,3.12
1.028,17.75,3.19
1.078,17.69,3.06
1.128,17.56,3.12
1.178,17.56,3
1.228,17.44,3.06
1.278,17.44,3
1.328,17.44,3
1.378,17.69,2.81
1.428,18.06,2.69
1.478,19,2.5
1.528,20.44,2.5
1.578,22.56,2.5
1.628,25.25,2.25
1.678,28.56,2.12
1.728,32.31,2.12
1.751,36.12,1.94
1.754,36.06,1.94
1.778,36.88,1.88
1.8,40.06,2.5
1.804,39.94,2.5
1.828,40.81,2.62
1.85,44.62,2.62
1.858,44.5,2.62
1.862,45.31,2.69
1.879,46.19,2.81
1.9,48.12,3.12
1.908,47.94,3.12
1.912,48.81,3
1.92,49.88,2.94
1.95,52.75,2.62
1.958,52.38,2.62
1.962,53.06,2.56
1.97,54.06,2.5
2,56.12,2.06
2.009,55.88,3
2.013,56.69,2
2.019,57.75,1.88
2.05,60.12,1.88
2.059,60,2.81
2.063,60.62,1.94
2.099,63.25,2.94
2.108,63.44,2
2.112,64.31,2
2.119,65.19,2.06
2.15,67.06,2.25
2.159,66.81,3.06
2.168,67.44,2.31
2.2,69.94,2.44
2.209,69.88,3.12
2.219,70.44,3
2.25,72.25,2.25
2.259,72.12,2.94
2.269,72.56,3.06
2.3,74.12,2
2.309,73.81,2.38
2.319,74.19,2.25
2.35,75.44,1.38
2.359,75.38,1.62
2.369,75.56,1.5
2.4,76.69,0.31
2.409,76.62,0.31
2.419,76.88,-0.06
2.45,77.81,-1.25
2.459,77.62,-1.25
2.469,77.75,-1.62
2.5,78.5,-2.81
2.509,78.38,-2.94
2.519,78.5,-3.19
2.558,78.69,-3.69
2.569,78.69,-3.69
2.6,78.56,-3.56
2.609,78.56,-3.5
2.658,78.31,-3.06
2.669,78.19,-3
2.709,78.25,-3.06
2.719,78.31,-3.12
2.759,78.38,-3.44
2.769,78.38,-3.44
2.809,78.69,-3.75
2.819,78.62,-3.75
2.868,78.56,-3.75
2.919,78.56,-3.56
2.969,78.5,-3.44
3.018,78.44,-3.5
3.069,78.38,-3.62
3.119,78.31,-3.69
3.169,78.25,-3.75
3.219,78,-4.06
3.269,77.44,-5.38
3.319,76.62,-8.81
3.369,75.94,-14.56
3.419,75.38,-21.88
3.469,75.06,-30.62
3.519,75,-39.31
3.569,75,-48.5
3.619,74.44,-57.06
3.669,73.75,-65
3.719,73,-71.75
