0.07,-11.81,2.94,0.5,0.630727,-0.004889,0.006134
0.12,-11.88,2.88,0.56,0.630727,-0.004889,0.006134
0.17,-11.81,2.88,0.5,1.105019,0.004502,-0.003566
0.22,-11.81,2.81,0.5,1.068669,5.30E-05,-0.002648
0.27,-11.75,2.81,0.44,0.959053,-0.001008,-0.000432
0.32,-11.69,2.88,0.44,0.919571,-0.000591,0.000314
0.37,-11.62,2.81,0.38,0.923475,-0.000347,0.000211
0.42,-11.56,2.81,0.38,0.932443,-0.000332,2.90E-05
0.47,-11.56,2.81,0.38,0.935437,-0.000367,-2.70E-05
0.52,-11.56,2.88,0.31,0.935009,-0.000374,-1.70E-05
0.62,-11.5,2.94,0.25,0.934269,-0.000368,-2.00E-06
0.67,-11.5,2.88,0.25,0.934043,-0.00038,2.20E-06
0.72,-11.5,2.88,0.25,0.934087,-0.000374,1.30E-06
0.77,-11.5,2.75,0.25,0.934146,-0.000367,2.00E-09
0.82,-11.44,2.69,0.25,0.934165,-0.000373,-2.80E-07
0.92,-11.44,2.69,0.25,0.93416,-0.000373,-1.40E-07
1.01,-11.44,2.69,0.25,0.934157,-0.000373,-1.70E-07
1.08,-11.44,2.69,0.25,0.934156,-0.000373,-1.40E-07
1.12,-11.44,2.56,0.31,0.934157,-0.000374,-5.00E-08
1.17,-11.5,2.56,0.38,0.934156,-0.000373,-1.30E-07
1.22,-11.44,2.56,0.38,0.934156,-0.000373,-9.40E-08
1.27,-11.44,2.56,0.31,0.934156,-0.000373,-9.80E-08
1.32,-11.44,2.56,0.38,0.934156,-0.000373,-9.90E-08
1.37,-11.44,2.62,0.38,0.934156,-0.000373,-9.90E-08
1.42,-11.44,2.69,0.31,0.934156,-0.000373,-9.90E-08
1.47,-11.38,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.52,-11.44,2.69,0.38,0.934156,-0.000373,-1.00E-07
1.57,-11.44,2.75,0.31,0.934156,-0.000373,-9.90E-08
1.62,-11.44,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.67,-11.44,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.72,-11.38,2.81,0.31,0.934156,-0.000373,-9.90E-08
1.77,-11.38,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.82,-11.31,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.87,-11.31,2.69,0.38,0.934156,-0.000373,-9.90E-08
1.92,-11.38,2.75,0.31,0.934156,-0.000373,-1.00E-07
1.97,-11.38,2.81,0.31,0.934156,-0.000373,-9.90E-08
2.02,-11.5,2.88,0.38,0.934156,-0.000373,-1.00E-07
2.07,-11.62,3,0.31,0.934156,-0.000373,-1.00E-07
2.12,-11.81,3.06,0.31,0.934156,-0.000373,-1.00E-07
2.17,-12.06,3.19,0.38,0.934156,-0.000373,-1.00E-07
2.22,-12.31,3.38,0.5,0.934156,-0.000373,-1.00E-07
2.27,-12.69,3.56,0.62,0.934156,-0.000373,-1.00E-07
2.32,-13.25,3.81,0.62,0.934156,-0.000373,-1.00E-07
2.37,-13.94,4,0.44,0.934156,-0.000373,-1.00E-07
2.42,-14.94,4.25,0.38,0.934156,-0.000373,-1.00E-07
2.47,-16.06,4.56,0.38,-0.032424,-0.135167,0.01839
2.52,-17.19,4.75,0.31,1.441148,-0.034037,-0.010382
2.57,-18.5,5,0.38,1.336048,-0.121894,-0.008366
2.62,-19.94,5.25,0.38,0.983889,-0.12265,-0.001258
2.67,-21.5,5.5,0.69,0.858567,-0.101886,0.001086
2.72,-23.19,5.75,0.81,0.87615,-0.096755,0.000565
2.77,-24.69,6.12,0.75,0.895894,-0.095534,7.70E-05
2.82,-26.31,6.56,0.94,0.907104,-0.10463,-5.10E-05
2.87,-27.94,6.94,1.06,0.910561,-0.096573,-0.000149
2.92,-29.88,7.38,1.38,0.904554,-0.108267,5.10E-05
2.97,-31.81,7.94,1.5,0.904181,-0.104212,3.60E-05
3.02,-34,8.38,1.56,0.905215,-0.102192,6.30E-07
3.07,-36.38,9,1.69,0.903953,-0.096807,-6.20E-05
3.12,-38.62,9.31,1.75,0.901089,-0.10599,7.80E-05
3.17,-41.06,9.94,2.06,0.913733,-0.105102,-9.70E-05
3.22,-43.19,10.62,2.19,0.905052,-0.102468,9.20E-05
3.27,-45.44,11.12,2.44,0.903551,-0.102001,-6.50E-05
3.32,-47.31,11.75,2.38,0.905558,-0.104803,4.10E-05
3.37,-49.31,12.44,2.69,0.905819,-0.103645,7.50E-05
3.42,-51.44,13.44,3.19,0.904853,-0.099719,-4.60E-05
3.47,-53.25,14.38,3.5,0.90511,-0.101859,-7.80E-05
3.52,-55,15.56,3.56,0.905773,-0.105248,0.000115
3.57,-56.5,16.56,3.38,0.905433,-0.100733,-4.20E-05
3.62,-58.06,17.69,3.38,0.90501,-0.101797,-5.20E-06
3.67,-59.5,18.69,3.31,0.905387,-0.102467,-2.40E-06
3.72,-60.75,19.62,3.31,0.910616,-0.103082,-9.90E-05
3.77,-62.06,20.44,3.5,0.908801,-0.102689,-5.70E-05
3.82,-63.12,21.19,3.44,0.900106,-0.098848,2.90E-05
3.87,-64.06,21.75,3.38,0.897386,-0.105089,0.000299
3.92,-65.19,22.31,3.62,0.908717,-0.100668,-9.60E-05
3.97,-66.25,23,3.62,0.909571,-0.103912,-7.60E-05
4.02,-67.12,23.19,3.56,0.887824,-0.105742,0.00037
4.07,-67.81,23.44,3.5,0.898363,-0.096994,9.30E-05
4.12,-68.25,23.62,3.5,0.900652,-0.103041,-2.90E-06
