5.42,-34.98,50.56,50.14,9.01,0
5.47,-33.6,51.19,49.39,8.32,0
5.52,-32.35,51.87,48.58,7.76,0
5.57,-31.1,52.37,47.77,7.14,0
5.62,-30.04,52.94,46.95,6.7,0
5.67,-29.04,53.62,46.08,6.32,0
5.72,-28.23,54.19,45.33,6.01,0
5.77,-27.35,54.56,44.52,5.51,0
5.82,-26.6,54.94,44.08,5.2,0
5.87,-26.1,55.37,43.2,4.95,0
5.92,-25.67,55.75,42.45,4.7,0
5.97,-25.23,56.12,41.64,4.45,0
6.02,-24.85,56.44,40.77,4.26,0
6.07,-24.48,56.75,40.08,4.07,0
6.12,-24.23,57.06,39.33,4.01,0
6.17,-23.92,57.19,38.64,3.82,0
6.22,-23.48,57.56,38.02,3.57,0
6.27,-23.17,57.75,37.39,3.39,0
6.32,-22.98,57.75,36.89,3.2,0
6.37,-22.98,58,36.14,3.2,0
6.42,-22.98,58,35.52,3.2,0
6.47,-23.04,58.06,34.89,3.32,0
6.52,-23.04,58,34.33,3.32,0
6.57,-23.1,58.06,33.89,3.39,0
6.62,-23.04,58.19,33.52,3.39,0
6.67,-22.92,58.31,33.27,3.32,0
6.72,-22.73,58.37,32.95,3.26,0
6.77,-22.35,58.44,32.58,3.01,0
6.82,-21.98,58.56,32.27,2.89,0
6.87,-21.6,58.69,32.08,2.57,0
6.92,-21.23,58.81,31.83,2.32,0
6.97,-20.92,59,31.52,2.14,0
7.02,-20.6,59,31.33,1.89,0
7.07,-20.42,59.19,31.08,1.76,0
7.12,-20.17,59.25,30.83,1.51,0
7.17,-19.92,59.56,30.77,1.32,0
7.22,-19.6,59.75,30.64,1.01,0
7.27,-19.1,60.06,30.64,0.64,0
7.32,-18.04,60.19,30.7,0.01,0
7.37,-17.17,60.31,30.83,-0.49,0
7.42,-16.29,60.37,31.08,-0.99,0
7.47,-15.54,60.44,31.2,-1.49,0
7.52,-15.17,60.56,31.33,-1.8,0
7.58,-14.98,60.56,31.45,-1.99,0
7.63,-14.98,60.69,31.45,-2.11,0
7.69,-15.04,60.69,31.45,-2.18,0
7.77,-15.17,60.81,31.45,-2.05,0
7.83,-15.29,60.69,31.39,-1.93,0
7.87,-15.67,60.62,31.39,-1.61,0
7.92,-16.29,60.19,31.33,-1.18,0
7.97,-17.48,60.31,31.14,-0.43,0
8.02,-18.73,60.12,30.95,0.32,0
8.07,-19.98,59.87,30.77,1.01,0
8.12,-21.42,59.94,30.58,1.82,0
8.17,-22.42,59.94,30.33,2.39,0
8.22,-22.67,59.69,30.2,2.45,0
8.27,-22.79,60.06,30.2,2.64,0
8.32,-22.48,60,30.39,2.57,0
8.37,-21.79,60,30.58,2.26,0
8.42,-21.23,60.19,30.7,2.01,0
8.47,-20.79,60.19,30.77,1.76,0
8.52,-20.42,60.31,30.89,1.39,0
8.57,-20.17,60.37,30.95,1.2,0
8.62,-19.92,60.44,31.14,1.01,0
8.67,-19.6,60.5,31.2,0.76,0
8.73,-19.29,60.75,31.45,0.57,0
8.77,-18.6,60.87,31.7,0.01,0
8.82,-17.98,61.06,31.89,-0.36,0
8.87,-16.98,61.56,32.2,-1.05,0
8.9,-15.1,62,32.77,-2.36,0
8.95,-12.48,62.44,33.45,-4.11,0
9,-9.54,63.12,34.39,-6.18,0
9.07,-5.98,63.69,35.27,-8.61,0
9.12,-2.04,64.06,36.08,-11.36,0
9.17,2.02,64.5,36.89,-14.24,0
9.22,5.9,64.56,37.64,-17.11,0
9.27,9.71,64.44,38.52,-19.8,0
9.32,12.96,64.19,39.2,-22.05,0
9.37,15.71,64,39.83,-24.05,0
9.42,18.08,63.56,40.58,-25.61,0
9.47,20.71,63.06,41.14,-27.99,0
9.52,21.58,63.06,41.33,-28.61,0
9.57,21.21,62.62,41.27,-28.3,0
9.63,20.96,63.06,41.02,-28.3,0
9.67,19.21,62.81,40.64,-26.86,0
9.72,17.33,62.87,40.2,-25.55,0
9.77,15.21,63.44,39.45,-24.18,0
9.82,12.58,63.37,38.7,-22.24,0
9.87,9.96,63.56,37.83,-20.24,0
9.92,7.08,63.94,37.08,-18.11,0
9.97,3.71,64.06,36.2,-15.49,0
10.02,0.33,64.5,35.27,-13.05,0
10.07,-3.42,64.5,34.2,-10.24,0
10.12,-7.04,64.44,33.14,-7.74,0
10.17,-10.79,64.44,32.14,-5.18,0
10.22,-14.23,64.12,31.2,-2.74,0
10.27,-17.79,63.69,30.27,-0.24,0
10.32,-21.42,63.44,29.27,2.2,0
10.37,-24.67,62.81,28.2,4.14,0
10.42,-27.6,62.19,27.27,5.89,0
10.47,-30.29,61.69,26.39,7.57,0
10.52,-32.54,60.81,25.64,8.7,0
10.57,-34.67,60,24.83,9.82,0
10.62,-36.92,59.37,24.02,11.01,0
10.67,-38.92,58.81,23.02,11.95,0
10.72,-40.48,57.94,22.14,12.51,0
10.77,-41.67,57,21.27,12.76,0
10.82,-43.17,56.25,20.45,13.32,0
10.87,-44.85,55.69,19.45,14.01,0
10.92,-45.92,54.94,18.77,14.2,0
10.97,-46.98,54.12,17.95,14.39,0
11.02,-47.98,53.62,17.33,14.76,0
11.07,-48.73,53.06,16.83,14.89,0
11.12,-49.35,52.62,16.45,15.07,0
11.17,-49.67,52.12,16.14,15.01,0
11.22,-50.17,52,15.89,15.26,0
11.27,-50.35,51.87,15.7,15.32,0
11.33,-50.6,51.69,15.52,15.51,0
11.42,-50.73,51.69,15.52,15.7,0
11.48,-50.73,51.75,15.45,15.7,0
11.57,-50.67,51.75,15.39,15.76,0
11.66,-50.6,51.87,15.58,15.76,0
11.72,-50.67,51.87,15.58,15.89,0
11.78,-50.6,51.87,15.58,15.82,0
11.87,-50.48,51.87,15.58,15.82,0
11.92,-50.48,51.81,15.64,15.82,0
11.97,-50.42,51.81,15.64,15.82,0
12.02,-50.42,51.81,15.64,15.82,0
12.07,-50.35,51.75,15.64,15.7,0
12.12,-50.42,51.81,15.64,15.82,0
12.17,-50.48,51.81,15.58,15.89,0
12.22,-50.48,51.81,15.58,15.89,0
12.27,-50.54,51.87,15.45,16.01,0
12.3,-50.73,52,15.39,16.14,0
12.33,-50.67,52.06,15.39,16.14,0
12.37,-50.67,52.06,15.39,16.14,0
12.4,-50.73,52,15.39,16.2,0
12.43,-50.67,52,15.39,16.2,0
12.47,-50.79,52.06,15.33,16.32,0
12.5,-50.73,52.06,15.33,16.32,0
12.54,-50.67,52.06,15.33,16.26,0
12.57,-50.6,52,15.33,16.2,0
12.6,-50.54,52,15.33,16.26,0
12.64,-50.54,52,15.33,16.26,0
12.69,-50.48,52,15.27,16.2,0
12.73,-50.42,51.94,15.27,16.14,0
12.77,-50.42,51.94,15.2,16.14,0
12.82,-50.29,52,15.2,16.01,0
12.87,-50.23,51.94,15.14,16.01,0
12.94,-50.17,51.94,15.14,15.95,0
12.98,-50.23,51.94,15.08,16.01,0
13.03,-50.23,51.94,15.08,16.01,0
13.08,-50.1,51.94,15.02,15.95,0
13.13,-50.35,52.06,14.89,16.2,0
13.19,-50.23,52,14.95,16.07,0
13.24,-50.17,51.94,14.89,16.07,0
13.29,-50.23,52,14.89,16.14,0
13.33,-50.23,52,14.89,16.14,0
13.39,-50.23,51.94,14.89,16.07,0
13.46,-50.29,52,14.89,16.14,0
13.52,-50.35,52,14.89,16.2,0
13.59,-50.35,52,14.89,16.2,0
13.66,-50.42,52,14.95,16.32,0
13.74,-50.42,52,14.95,16.32,0
13.79,-50.42,52,14.95,16.26,0
13.86,-50.42,52,14.95,16.26,0
13.89,-50.67,52,14.83,16.45,0
13.92,-50.67,52,14.83,16.45,0
13.96,-50.67,52,14.89,16.45,0
13.99,-50.67,51.94,14.83,16.39,0
14.02,-50.67,51.94,14.83,16.39,0
14.06,-50.79,52.12,14.83,16.57,0
14.09,-50.79,52,14.89,16.57,0
