273,77.06,-4.56
274,77.06,-4.62
275,77.19,-5
276,77.19,-5.06
277,77.19,-5.12
278,77.19,-5.19
279,77.25,-5.25
280,77.25,-5.31
281,77.31,-5.5
282,77.31,-5.5
283,77.31,-5.5
284,77.31,-5.62
285,77.38,-5.69
286,77.38,-5.69
287,77.5,-6
288,77.62,-6
289,77.62,-6
290,77.62,-6
291,77.75,-6.19
292,77.81,-6.31
293,77.81,-6.38
294,77.81,-6.38
295,77.81,-6.38
296,77.81,-6.44
297,77.81,-6.5
298,77.88,-6.5
299,77.88,-6.5
300,77.88,-6.5
301,78,-6.5
302,78,-6.5
303,78.06,-6.56
304,78.06,-6.5
305,78.19,-6.56
306,78.19,-6.56
307,78.19,-6.56
308,78.19,-6.56
309,78.31,-6.56
310,78.31,-6.56
311,78.31,-6.62
312,78.31,-6.56
313,78.25,-6.5
314,78.25,-6.5
315,78.31,-6.5
316,78.38,-6.69
317,78.19,-6.56
318,78.19,-6.56
319,78.19,-6.5
320,78.12,-6.38
321,78,-6.25
322,78,-6.19
323,78.06,-6.19
324,78.06,-6.19
325,78,-6.12
326,77.94,-6.12
327,77.94,-6.12
328,77.31,-5.5
329,77.06,-5.19
330,77.06,-5.19
331,76.88,-5
332,76.56,-4.75
333,76.62,-4.75
334,76.31,-4.62
335,76.25,-4.62
336,76.25,-4.62
337,75.94,-4.5
338,75.5,-4.25
339,75.5,-4.25
340,75.19,-4
341,75.19,-4.56
342,73.94,-3.38
343,73.31,-3.06
344,73.31,-3.06
345,72.81,-2.88
346,72.81,-3.38
347,72.25,-2.75
348,71.56,-2.56
349,71.69,-2.56
350,71.69,-2.56
351,71.06,-2.44
352,71.06,-2.44
353,70.38,-2.25
354,70.38,-2.88
355,69.75,-2.12
356,69.12,-2
357,69.12,-2.69
358,68.38,-1.81
359,68.38,-1.81
360,67.62,-1.62
361,67.62,-1.62
362,66.94,-1.44
363,66.94,-1.44
364,66.19,-1.38
365,66.19,-2.19
366,65.31,-1.19
367,64.38,-1.12
368,64.56,-1.12
369,64.56,-1.12
370,63.69,-1
371,63.69,-1
372,62.81,-0.94
373,62.81,-1.88
374,62,-0.88
375,61.12,-0.75
376,61.12,-1.75
377,60.31,-0.75
378,60.31,-0.75
379,60.31,-1.69
380,59.5,-0.62
381,58.69,-0.56
382,57.81,-0.56
383,57.81,-1.56
384,56.94,-1.5
385,56.06,-0.44
386,56.06,-0.44
387,56.06,-1.44
388,55.12,-0.31
389,55.12,-0.31
390,54.19,-0.25
391,54.19,-1.25
392,53.25,-0.12
393,52.38,0
394,51.25,-0.94
395,50.62,0.12
396,49.69,0.19
397,48.81,0.19
398,48.81,-0.88
399,48,-0.94
400,47.06,0.19
401,47.06,0.19
402,47.06,-0.88
403,46.06,0.25
404,46.06,0.25
405,45.25,0.19
406,44.31,0.25
407,43.5,0.25
408,43.5,-0.81
409,42.62,0.25
410,42.62,0.25
411,42.88,-0.75
412,41.81,0.31
413,40.94,0.38
414,40.94,-0.62
415,40.12,-0.56
416,39.25,-0.5
417,38.5,0.5
418,38.5,0.5
419,38.5,-0.44
420,37.69,0.56
421,37.69,0.56
422,36.94,0.56
423,36.94,-0.38
424,36.12,-0.25
425,35.31,-0.12
426,34.56,0.81
427,34.56,0.81
428,34.56,-0.06
429,33.94,0.88
430,33.25,0.94
431,32.5,0.25
432,31.81,0.38
433,31.06,1.25
434,31.06,1.25
435,31.06,0.44
436,30.44,1.25
437,29.75,1.38
438,29.19,0.56
439,28.56,0.62
440,27.94,1.38
441,27.94,1.38
442,27.94,0.62
443,27.25,1.44
444,26.62,1.5
445,25.25,0.25
446,24.25,1.69
447,23.75,1.06
448,23.19,1.12
449,22.56,1.25
450,21.94,2
451,21.94,2
452,21.94,1.44
453,21.5,2.06
454,21,2.12
455,20.56,1.62
456,20.19,1.5
457,19.81,2
458,19.81,2
459,19.81,1.56
460,19.44,2
461,19.19,1.5
462,18.81,1.5
463,18.56,1.56
464,18.31,1.94
465,18.31,1.62
466,18.31,1.62
467,18,2
468,17.81,1.75
469,17.62,1.75
470,17.5,1.75
471,17.31,2
472,17.31,1.81
473,17.44,1.81
474,17.25,2
475,17.12,1.94
476,17,2
477,16.81,2.06
478,16.75,2.19
479,16.75,2.06
480,16.62,2.19
481,16.56,2.06
482,16.56,2.19
483,16.56,2.19
484,16.69,2.19
485,16.69,2.19
486,16.75,2.12
487,16.69,2.19
488,16.69,2.19
489,16.69,2.19
490,16.69,2.19
491,16.69,2.19
492,16.69,2.12
493,16.81,2.12
494,16.81,2.12
495,16.81,2.12
496,16.81,2.12
497,16.81,2.19
498,16.81,2.19
499,16.81,2.19
500,16.88,2.19
501,16.88,2.06
502,16.56,2.19
503,16.56,2.12
504,16.44,2.12
505,16.38,2.19
506,16.25,1.94
507,15.25,2.12
508,15.25,2
509,14.88,2
510,14.81,1.75
511,13.56,2
512,13.56,1.88
513,13.38,1.88
514,13.25,1.62
515,11.94,2.12
516,11.94,2.06
517,11.94,2.06
518,11.81,2.19
519,11.81,2
520,10.81,2.5
521,10.81,2.5
522,10.62,2.5
523,10.44,2.44
524,9.88,3.06
525,9.88,2.94
526,10,2.94
527,9.75,2.81
528,9.56,3.06
529,9.56,3.06
530,9.69,3.06
531,9.62,2.88
532,9.56,3.19
533,9.56,3.19
534,9.75,3.19
535,9.81,3
536,10,3.06
537,10.12,2.94
538,10.31,3.06
539,10.31,3.06
540,10.56,3.06
541,10.75,3.19
542,11.12,3.31
543,11.19,3.31
544,11.19,3.31
545,11.25,3.12
546,11.12,3.19
547,11.12,3.19
548,11.12,3.19
549,11.06,3.12
550,10.94,3
551,10.69,2.75
552,10.5,2.81
553,10.38,2.69
554,10,2.62
555,9.88,2.5
556,9.62,2.56
557,9.44,2.44
558,9.12,2.38
559,9.19,2.06
