Graph
Time (Seconds),Data0 (kg*m^2/s^2)
15.200000,0.281300
15.250000,0.295991
15.300000,0.310600
15.350000,0.325133
15.400001,0.339580
15.450000,0.353948
15.500000,0.368214
15.550000,0.382385
15.600000,0.396459
15.650001,0.410429
15.700000,0.424295
15.750000,0.438051
15.800000,0.451686
15.850000,0.465204
15.900001,0.478609
15.950000,0.491882
16.000000,0.505030
16.049999,0.518039
16.099998,0.530919
16.150000,0.543654
16.199999,0.556248
16.250000,0.568692
16.299999,0.580993
16.349998,0.593135
16.400000,0.605118
16.449999,0.616942
16.500000,0.628603
16.549999,0.640094
16.599998,0.651414
16.650000,0.662560
16.699999,0.673531
16.750000,0.684318
16.799999,0.694922
16.849998,0.705334
16.900000,0.715557
16.949999,0.725587
17.000000,0.735423
17.049999,0.745055
17.099998,0.754482
17.150000,0.763705
17.199999,0.772720
17.250000,0.781520
17.299999,0.790100
17.349998,0.798470
17.400000,0.806613
17.449999,0.814537
17.500000,0.822233
17.549999,0.829695
17.599998,0.836927
17.650000,0.843930
17.699999,0.850683
17.750000,0.857206
17.799999,0.863481
17.849998,0.869517
17.900000,0.875304
17.949999,0.880837
18.000000,0.886123
18.049999,0.891153
18.099998,0.895919
18.150000,0.900440
18.199999,0.904691
18.250000,0.908681
18.299999,0.912411
18.349998,0.915869
18.400000,0.919066
18.449999,0.921986
18.500000,0.924633
18.549999,0.927012
18.599998,0.929109
18.650000,0.922457
18.699999,0.911347
18.750000,0.908084
18.799999,0.909121
18.849998,0.910368
18.900000,0.919232
18.949999,0.931692
19.000000,0.935801
19.049999,0.935285
19.099998,0.934313
19.150000,0.934012
19.199999,0.934071
19.250000,0.934148
19.299999,0.934167
19.349998,0.934159
19.400000,0.934159
19.449999,0.934157
19.500000,0.934158
19.549999,0.934157
19.599998,0.934157
19.650000,0.934157
19.699999,0.934157
19.750000,0.934157
19.799999,0.934157
19.849998,0.934157
19.900000,0.934157
19.949999,0.934157
20.000000,0.934157
20.049999,0.934157
20.099998,0.934157
20.150000,0.934157
20.199999,0.934157
20.250000,0.934157
20.299999,0.934157
20.349998,0.934157
20.400000,0.934157
20.449999,0.934157
20.500000,0.934157
20.549999,0.934157
20.599998,0.934157
20.650000,0.934157
20.699999,0.934157
20.750000,0.934157
20.799999,0.934157
20.849998,0.934157
20.900000,0.934157
20.949999,0.934157
21.000000,0.934157
21.049999,0.934157
21.099998,0.934157
21.150000,0.934157
21.199999,0.934157
21.250000,0.934157
21.299999,0.934157
21.349998,0.934157
21.400000,0.934157
21.449999,0.934157
21.500000,0.934157
21.549999,0.934157
21.599998,0.934157
21.650000,0.934157
21.699999,0.934157

