Torque_graph,,,
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
7.15,0.481759,5.1E-06,-0.000888
7.2,0.454845,4.6E-06,-0.000847
7.25,0.427458,4.4E-06,-0.000802
7.3,0.399632,4.1E-06,-0.000748
7.35,0.371388,3.9E-06,-0.000702
7.4,0.34276,3.6E-06,-0.000641
7.45,0.313783,3.5E-06,-0.000585
7.5,0.284475,3.2E-06,-0.000522
7.55,0.254881,2.9E-06,-0.000454
7.6,0.225025,2.7E-06,-0.000385
7.65,0.19494,2.4E-06,-0.000309
7.7,0.167441,5.4E-05,-0.000215
7.75,0.151451,0.000315,-4.2E-05
7.8,0.130966,0.000445,0.000145
7.85,0.106921,0.000446,0.000162
7.9,0.084616,0.000422,0.000187
7.95,0.066058,0.000412,0.000267
8,0.051064,0.000413,0.000349
8.05,0.039213,0.000415,0.00042
8.1,0.030368,0.000415,0.000479
8.150001,0.024575,0.000415,0.000531
8.2,0.024674,0.000561,0.000202
8.25,0.002963,0.000267,0.000566
8.3,-0.002554,0.000201,0.000277
8.35,-0.000714,0.000254,0.000399
8.400001,0.000965,0.000293,0.000499
8.45,0.00125,0.000301,0.000484
8.5,0.001043,0.000298,0.000458
8.55,0.000895,0.000296,0.000455
8.6,0.000867,0.000295,0.00046
8.650001,0.000866,0.000296,0.000462
8.7,0.000702,0.000199,0.000461
8.75,0.000464,6.8E-05,0.000457
8.8,0.000375,2.2E-05,0.00046
8.85,0.000376,7.1E-06,0.00046
8.900001,0.000377,2E-06,0.000461
8.95,0.000363,3.7E-07,0.000463
9,0.00034,-3.7E-07,0.000464
9.05,0.000321,-6.8E-07,0.000464
9.1,0.000305,-6.5E-07,0.000466
9.150001,0.000285,-7.9E-07,0.000466
9.2,0.00027,-7E-07,0.000466
9.25,0.000251,-7E-07,0.000468
9.3,0.000232,-6.9E-07,0.000469
9.35,0.000215,-6.6E-07,0.000469
9.400001,0.000195,-7E-07,0.000471
9.45,0.000177,-7E-07,0.000471
9.5,0.000159,-6.8E-07,0.000471
9.55,0.000142,-6.4E-07,0.000473
9.6,0.000124,-6E-07,0.000474
9.650001,0.000105,-6.9E-07,0.000474
9.7,8.9E-05,-5.2E-07,0.000476
9.75,7E-05,-5.7E-07,0.000478
9.8,4.9E-05,-5.7E-07,0.000478
9.85,3.1E-05,-5.9E-07,0.000477
9.900001,1.7E-05,-5E-07,0.000479
9.95,-2.2E-06,-3.9E-07,0.000481
10,-2.1E-05,-5E-07,0.000481
10.05,-3.9E-05,-4.5E-07,0.000482
10.1,-5.7E-05,-4.4E-07,0.000484
10.150001,-7.3E-05,-3.9E-07,0.000482
10.2,-9.4E-05,-3.6E-07,0.000485
10.25,-0.000112,-4.3E-07,0.000485
10.3,-0.000129,-2.8E-07,0.000486
10.35,-0.000147,-3.5E-07,0.000486
10.400001,-0.000164,-2.8E-07,0.000488
10.45,-0.000339,-9.7E-05,0.000487
10.5,-0.00058,-0.000229,0.000484
10.55,-0.000658,-0.000274,0.000484
10.6,-0.000664,-0.000289,0.000486
10.650001,-0.000662,-0.000294,0.000489
10.7,-0.000678,-0.000296,0.000489
10.75,-0.000696,-0.000297,0.00049
10.8,-0.000713,-0.000297,0.000491
10.85,-0.000736,-0.000297,0.000492
10.900001,-0.000752,-0.000297,0.000491
10.95,-0.000596,-0.000398,0.00044
11,-0.000736,-0.000229,0.000525
11.05,-0.000754,-0.000274,0.000498
11.1,-0.00074,-0.000289,0.000483
11.150001,-0.000725,-0.000294,0.000486
11.2,-0.000727,-0.000296,0.000484
11.25,-0.000728,-0.000297,0.000487
11.3,-0.000729,-0.000297,0.000486
11.35,-0.00073,-0.000297,0.000487
11.400001,-0.000732,-0.000297,0.000487
11.45,-0.000579,-0.0002,0.000488
11.5,-0.000354,-6.9E-05,0.000492
11.55,-0.000293,-2.3E-05,0.000493
11.6,-0.000311,-8.3E-06,0.000492
11.650001,-0.000327,-3.2E-06,0.000491
11.7,-0.000334,-1.4E-06,0.000492
11.75,-0.000333,-8.2E-07,0.000491
11.8,-0.000332,-6.1E-07,0.000492
11.85,-0.000332,-4.1E-07,0.000493
11.900001,-0.000334,-5.3E-07,0.000492
11.95,-0.000333,-4.4E-07,0.000492
12,-0.000334,-5.5E-07,0.000494
12.05,-0.000337,-6.5E-07,0.000492
12.1,-0.000336,-5.3E-07,0.000492
12.150001,-0.000336,-5.3E-07,0.000493
12.2,-0.000337,-5.6E-07,0.000495
12.25,-0.000339,-6.5E-07,0.000492
12.3,-0.000339,-6.5E-07,0.000494
12.35,-0.00034,-5.8E-07,0.000494
12.400001,-0.000339,-6.8E-07,0.000494
12.45,-0.00034,-6.3E-07,0.000495
12.5,-0.000341,-7.3E-07,0.000494
12.55,-0.000343,-6.9E-07,0.000494
12.6,-0.000344,-7.1E-07,0.000496
12.650001,-0.000341,-6.8E-07,0.000494
12.7,-0.000343,-7.8E-07,0.000494
12.75,-0.000346,-7.4E-07,0.000496
12.8,-0.000346,-7.1E-07,0.000495
12.85,-0.000346,-8E-07,0.000496
12.900001,-0.000346,-7.5E-07,0.000495
12.95,-0.000347,-7E-07,0.000495
13,-0.000347,-7.9E-07,0.000496
13.05,-0.000348,-7.9E-07,0.000498
13.1,-0.000349,-8.4E-07,0.000497
13.150001,-0.000351,-5.8E-07,0.000495
13.2,-0.000178,0.000107,0.0005
13.25,3.3E-05,0.000231,0.000502
13.3,9E-05,0.000274,0.000504
13.35,6.7E-05,0.000288,0.000502
13.400001,5.3E-05,0.000293,0.000502
13.45,5.1E-05,0.000295,0.0005
13.5,5.1E-05,0.000296,0.000503
13.55,4.9E-05,0.000296,0.000504
13.6,5.1E-05,0.000296,0.000499
13.650001,0.00904,0.000742,0.000494
13.7,0.021923,0.000387,0.000701
13.75,0.029771,0.000447,0.000704
13.8,0.036871,0.000432,0.000586
13.85,0.046993,0.000415,0.00053
13.900001,0.060854,0.000412,0.000519
13.95,0.078044,0.000414,0.000503
14,0.098269,0.000416,0.000467
14.05,0.121475,0.000416,0.000426
14.1,0.147667,0.000417,0.000378
14.150001,0.168189,0.000256,0.000297
14.2,0.186556,2.8E-05,0.000136
14.25,0.213432,-3.5E-05,5.7E-05
14.3,0.244218,-1.7E-05,9.8E-05
14.35,0.274799,2.3E-06,8.6E-05
14.400001,0.304365,6.4E-06,4.1E-05
14.45,0.333324,4.7E-06,-1.4E-06
14.5,0.361957,3.3E-06,-2.7E-05
14.55,0.390283,3.5E-06,-5.4E-05
14.6,0.418221,4E-06,-8E-05
14.650001,0.44572,4.2E-06,-1E-04
14.7,0.472747,4.6E-06,-0.000126
14.75,0.499279,4.8E-06,-0.000144
14.8,0.525287,5E-06,-0.000163
