Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
7.800000,199.056900,0.000027,80.252113
7.850000,201.071686,0.000027,80.287430
7.900000,203.088089,0.000027,80.322395
7.950000,205.106110,0.000027,80.356918
8.000000,207.125687,0.000027,80.390999
8.050000,209.146835,0.000027,80.424576
8.100000,211.169556,0.000027,80.457687
8.150001,213.193787,0.000027,80.490227
8.200000,215.219498,0.000027,80.522110
8.250000,217.246674,0.000027,80.553352
8.300000,219.275284,0.000027,80.583870
8.350000,221.305283,0.000027,80.613678
8.400001,223.336655,0.000027,80.642723
8.450000,225.369354,0.000027,80.670952
8.500000,227.403290,0.000027,80.698265
8.550000,229.438522,0.000027,80.724739
8.600000,231.474930,0.000027,80.750282
8.650001,233.512497,0.000027,80.774826
8.700000,235.551208,0.000027,80.798424
8.750000,237.590897,0.000027,80.820961
8.800000,239.631622,0.000027,80.842445
8.850000,241.673325,0.000027,80.862869
8.900001,243.715958,0.000027,80.882210
8.950000,245.759384,0.000027,80.900421
9.000000,247.803635,0.000027,80.917427
9.050000,249.848648,0.000027,80.933289
9.100000,251.894272,0.000027,80.947945
9.150001,253.940582,0.000027,80.961388
9.200000,255.987411,0.000027,80.973602
9.250000,258.034729,0.000027,80.984573
9.300000,260.082520,0.000027,80.994286
9.350000,262.130646,0.000027,81.002708
9.400001,264.179138,0.000027,81.009842
9.450000,266.227875,0.000027,81.015717
9.500000,268.276825,0.000027,81.020264
9.550000,270.325836,0.000027,81.023514
9.600000,272.374939,0.000027,81.025467
9.650001,274.424103,0.000027,81.026100
9.700000,276.473145,0.000027,81.025398
9.750000,278.522003,0.000027,81.023438
9.800000,280.570679,0.000027,81.020142
9.850000,282.619202,0.000027,81.015549
9.900001,284.667328,0.000027,81.009689
9.950000,286.715118,0.000027,81.002480
10.000000,288.762421,0.000027,80.994011
10.050000,290.809296,0.000027,80.984314
10.100000,292.855499,0.000027,80.973328
10.150001,294.901123,0.000027,80.961113
10.200000,296.946045,0.000027,80.947670
10.250000,298.990265,0.000027,80.933029
10.300000,301.033661,0.000027,80.917236
10.350000,303.076202,0.000027,80.900261
10.400001,305.117889,0.000027,80.882156
10.450000,307.158569,0.000027,80.862923
10.500000,309.198181,0.000027,80.842628
10.550000,311.236816,0.000027,80.821243
10.600000,313.274323,0.000027,80.798874
10.650001,315.310669,0.000027,80.775482
10.700000,317.345795,0.000027,80.751144
10.750000,319.379761,0.000027,80.725868
10.800000,321.412354,0.000027,80.699684
10.850000,323.443665,0.000027,80.672661
10.900001,325.473663,0.000027,80.644836
10.950000,327.502228,0.000027,80.616188
11.000000,329.529297,0.000027,80.586792
11.050000,331.554993,0.000027,80.556702
11.100000,333.579224,0.000027,80.525909
11.150001,335.601898,0.000027,80.494530
11.200000,337.623016,0.000027,80.462540
11.250000,339.642578,0.000027,80.430038
11.300000,341.660492,0.000027,80.396996
11.350000,343.676910,0.000027,80.363518
