Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
7.750000,248.810837,0.000000,30.393631
7.800000,250.905579,0.000000,30.401651
7.850000,253.001801,0.000000,30.409096
7.900000,255.099319,0.000014,30.416008
7.950000,257.198151,0.000000,30.422277
8.000000,259.298035,0.000014,30.427975
8.050000,261.398804,0.000014,30.433029
8.100000,263.500458,0.000014,30.437454
8.150001,265.602722,0.000000,30.441238
8.200000,267.705444,0.000014,30.444393
8.250000,269.808533,0.000014,30.446907
8.300000,271.911957,0.000027,30.448765
8.350000,274.015381,0.000027,30.449982
8.400001,276.118713,0.000027,30.450527
8.450000,278.221680,0.000014,30.450405
8.500000,280.324341,-0.000014,30.449625
8.550000,282.426453,0.000014,30.448191
8.600000,284.527802,0.000000,30.446087
8.650001,286.628357,0.000027,30.443369
8.700000,288.727905,0.000027,30.439995
8.750000,290.826294,0.000027,30.435951
8.800000,292.923370,0.000027,30.431280
8.850000,295.019073,0.000027,30.426020
8.900001,297.113220,0.000000,30.420134
8.950000,299.205627,0.000000,30.413685
9.000000,301.296265,0.000014,30.406609
9.050000,303.384918,0.000014,30.398987
9.100000,305.471558,0.000014,30.390804
9.150001,307.555939,0.000014,30.382061
9.200000,309.638062,0.000014,30.372772
9.250000,311.717804,0.000000,30.363033
9.300000,313.795074,0.000014,30.352760
9.350000,315.869751,0.000000,30.342051
9.400001,317.941650,0.000000,30.330862
9.450000,320.010773,0.000027,30.319265
9.500000,322.077087,0.000014,30.307285
9.550000,324.140442,0.000014,30.294882
9.600000,326.200775,0.000014,30.282095
9.650001,328.258026,0.000027,30.268953
9.700000,330.312225,0.000014,30.255499
9.750000,332.363190,-0.000014,30.241770
9.800000,334.410889,-0.000027,30.227726
9.850000,336.455292,-0.000014,30.213438
9.900001,338.496429,-0.000027,30.198904
9.950000,340.534119,-0.000014,30.184122
10.000000,342.568512,0.000000,30.169178
10.050000,344.599426,0.000014,30.154015
10.100000,346.626923,0.000014,30.138742
10.150001,348.651001,0.000000,30.123293
10.200000,350.671600,0.000000,30.107761
10.250000,352.678192,0.000027,30.092188
10.300000,354.584381,0.000000,30.077463
10.350000,356.311371,-0.000014,30.064007
10.400001,357.830139,0.000014,30.051823
10.450000,359.141022,0.000027,30.041002
10.500000,360.249084,0.000014,30.031645
10.550000,361.156494,0.000027,30.023832
10.600000,361.863556,0.000014,30.017643
10.650001,362.370392,0.000000,30.012999
10.700000,362.677124,0.000000,30.009871
10.750000,362.794678,0.000000,30.008026
10.800000,362.809570,0.000014,30.006729
10.850000,362.800201,0.000014,30.006046

