Torque_graph
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
3.300000,0.513370,0.00000050,-0.163627
3.350000,0.506393,0.0000015,-0.178444
3.400000,0.498783,0.0000015,-0.193037
3.450000,0.490583,0.000001,-0.207388
3.500000,0.481796,0.0000013,-0.221460
3.550000,0.472449,0.000001,-0.235282
3.600000,0.462542,0.00000099,-0.248808
3.650000,0.452095,0.00000098,-0.262012
3.700000,0.441113,0.00000092,-0.274905
3.750000,0.429623,0.00000064,-0.287474
3.800000,0.417627,0.00000053,-0.299682
3.850000,0.405145,0.00000052,-0.311528
3.900000,0.392194,0.00000014,-0.323004
3.950000,0.378786,0.00000027,-0.334087
4.000000,0.364936,-0.000000027,-0.344768
4.050000,0.350664,-0.00000035,-0.355052
4.100000,0.335988,-0.00000030,-0.364903
4.150000,0.320920,-0.00000065,-0.374342
4.200000,0.305475,-0.00000069,-0.383324
4.250000,0.289680,-0.00000077,-0.391874
4.300000,0.273548,-0.00000067,-0.399968
4.350000,0.257093,-0.00000050,-0.407582
4.400000,0.240344,-0.000000080,-0.414715
4.450000,0.223306,-0.000000018,-0.421336
4.500000,0.206007,0.000000071,-0.427452
4.550000,0.188466,0.000000027,-0.433065
4.600000,0.170712,-0.000000051,-0.438175
4.650000,0.152762,0.000000023,-0.442778
4.700000,0.134632,-0.00000017,-0.446858
4.750000,0.116355,-0.00000014,-0.450421
4.800000,0.097941,-0.0000001,-0.453457
4.850000,0.079418,-0.00000017,-0.455970
4.900000,0.060803,-0.00000026,-0.457950
4.950000,0.042121,-0.00000016,-0.459399
5.000000,0.023389,-0.00000031,-0.460311
5.050000,0.004632,-0.0000001,-0.460699
5.100000,-0.014131,-0.00000020,-0.460542
5.150000,-0.032880,-0.00000027,-0.459858
5.200000,-0.051588,-0.00000019,-0.458638
5.250000,-0.070241,-0.00000013,-0.456886
5.300000,-0.088811,-0.00000016,-0.454609
5.350000,-0.107284,-0.00000026,-0.451794
5.400000,-0.125631,-0.00000019,-0.448470
5.450000,-0.143839,-0.00000028,-0.444618
5.500000,-0.161881,-0.000000048,-0.440251
5.550000,-0.179742,-0.00000025,-0.435367
5.600000,-0.197397,-0.00000030,-0.429984
5.650000,-0.214826,-0.00000018,-0.424099
5.700000,-0.232013,-0.00000028,-0.417719
5.750000,-0.248933,-0.00000025,-0.410850
5.800000,-0.265572,-0.00000036,-0.403504
5.850000,-0.281904,-0.0000003,-0.395686
5.900000,-0.297912,-0.0000004,-0.387401
5.950000,-0.313582,-0.00000044,-0.378662
6.000000,-0.328896,-0.00000063,-0.369480
6.050000,-0.343826,-0.00000048,-0.359860
6.100000,-0.358360,-0.00000045,-0.349816
6.150000,-0.372482,-0.0000008,-0.339354
6.200000,-0.386178,-0.00000070,-0.328496
6.250000,-0.399420,-0.00000074,-0.317245
6.300000,-0.412208,-0.00000097,-0.305606
6.350000,-0.424512,-0.00000096,-0.293615
6.400000,-0.436321,-0.000001,-0.281271
6.450000,-0.447630,-0.0000011,-0.268574
6.500000,-0.458406,-0.0000012,-0.255562
6.550000,-0.468647,-0.0000013,-0.242241
6.600000,-0.478351,-0.0000012,-0.228614
6.650000,-0.487479,-0.0000014,-0.214722
6.700000,-0.496033,-0.0000013,-0.200562
6.750000,-0.504011,-0.0000015,-0.186136
6.800000,-0.511389,-0.0000014,-0.171497
6.850000,-0.518155,-0.0000016,-0.156641
6.900000,-0.524311,-0.0000016,-0.141582
6.950000,-0.529840,-0.0000016,-0.126335
7.000000,-0.534739,-0.0000016,-0.110934
7.050000,-0.538996,-0.0000018,-0.095385
7.100000,-0.542606,-0.0000015,-0.079712
7.150000,-0.545563,-0.0000018,-0.063916
7.200000,-0.547863,-0.0000015,-0.048055
7.250000,-0.549498,-0.0000017,-0.032104
7.300000,-0.550475,-0.0000018,-0.016095
7.350000,-0.550772,-0.0000014,-0.000063
7.400000,-0.550407,-0.0000016,0.015982
7.450000,-0.549364,-0.0000015,0.032020
7.500000,-0.547656,-0.0000016,0.048051
7.550000,-0.545274,-0.0000014,0.064021
7.600000,-0.542217,-0.0000014,0.079929
7.650000,-0.538495,-0.0000014,0.095760
7.700000,-0.534109,-0.0000014,0.111485
7.750000,-0.529061,-0.0000012,0.127081
7.800000,-0.523353,-0.0000013,0.142537
7.850000,-0.517001,-0.000001,0.157838
7.900000,-0.510002,-0.000001,0.172953
7.950000,-0.502365,-0.0000012,0.187874
8.000000,-0.494096,-0.00000096,0.202555
8.050000,-0.485213,-0.00000092,0.217009
8.100000,-0.475720,-0.00000079,0.231217
8.150001,-0.465621,-0.00000082,0.245132
8.200000,-0.454940,-0.00000071,0.258757
8.250000,-0.443684,-0.00000063,0.272070
8.300000,-0.431863,-0.00000070,0.285052
8.350000,-0.419498,-0.00000049,0.297683
8.400001,-0.406595,-0.00000037,0.309961
8.450000,-0.393179,-0.00000048,0.321848
8.500000,-0.379259,-0.00000033,0.333339
8.550000,-0.364856,-0.0000003,0.344416
8.600000,-0.349985,-0.0000003,0.355073
8.650001,-0.334666,-0.0000002,0.365273
8.700000,-0.318916,-0.00000012,0.375032
8.750000,-0.302760,0.000000052,0.384311
8.800000,-0.286215,-0.00000026,0.393115
8.850000,-0.269296,0.000000045,0.401418
8.900001,-0.252035,0.0000001,0.409219
8.950000,-0.234447,0.00000013,0.416499
9.000000,-0.216558,0.00000014,0.423251
9.050000,-0.198391,0.0000001,0.429469
9.100000,-0.179964,0.00000020,0.435142
9.150001,-0.161306,0.00000018,0.440255
9.200000,-0.142440,0.00000032,0.444810
9.250000,-0.123390,0.00000026,0.448804
9.300000,-0.104181,0.00000020,0.452215
9.350000,-0.084836,0.00000035,0.455051
9.400001,-0.065384,0.00000032,0.457304
9.450000,-0.045848,0.00000029,0.458975
9.500000,-0.026252,0.00000040,0.460053
9.550000,-0.006625,0.00000029,0.460546
9.600000,0.013009,0.00000032,0.460447
9.650001,0.032625,0.00000028,0.459757
9.700000,0.052198,0.00000043,0.458478
9.750000,0.071696,0.00000025,0.456607
9.800000,0.091101,0.0000003,0.454158
9.850000,0.110392,0.00000038,0.451123
9.900001,0.129530,0.00000035,0.447515
9.950000,0.148502,0.00000037,0.443327
10.000000,0.167274,0.00000038,0.438573
